时间,价差买价,价差卖价,价差买量,价差卖量,IF2307.CFFEX买价,IF2307.CFFEX卖价,IF2307.CFFEX买量,IF2307.CFFEX卖量,IF2308.CFFEX买价,IF2308.CFFEX卖价,IF2308.CFFEX买量,IF2308.CFFEX卖量
2023-06-29 14:51:56.300848,-3.0,-1.800000000000182,0.0,0.0,3806.0,3806.2,1,1,3808.0,3809.0,1,1
2023-06-29 14:51:56.463986,-3.0,-1.6000000000003638,0.0,0.0,3806.0,3806.2,1,1,3807.8,3809.0,1,1
2023-06-29 14:51:56.807669,-3.199999999999818,-1.6000000000003638,0.0,0.0,3805.8,3806.2,4,3,3807.8,3809.0,1,1
2023-06-29 14:51:58.055061,-3.199999999999818,-1.800000000000182,0.0,0.0,3805.8,3806.0,2,1,3807.8,3809.0,1,1
2023-06-29 14:51:58.959528,-3.400000000000091,-1.800000000000182,0.0,0.0,3805.6,3806.0,5,3,3807.8,3809.0,1,1
2023-06-29 14:51:59.964665,-3.199999999999818,-1.800000000000182,0.0,0.0,3805.8,3806.0,1,1,3807.8,3809.0,1,1
2023-06-29 14:52:00.519180,-3.400000000000091,-1.6000000000003638,0.0,0.0,3805.6,3806.2,4,2,3807.8,3809.0,1,1
2023-06-29 14:52:01.338885,-3.599999999999909,-1.6000000000003638,0.0,0.0,3805.4,3806.2,5,2,3807.8,3809.0,1,1
2023-06-29 14:52:01.905214,-3.400000000000091,-1.800000000000182,0.0,0.0,3805.6,3806.0,1,5,3807.8,3809.0,1,1
2023-06-29 14:52:02.082572,-3.400000000000091,-1.599999999999909,0.0,0.0,3805.6,3806.0,1,5,3807.6,3809.0,1,1
2023-06-29 14:52:02.125573,-3.199999999999818,-1.599999999999909,0.0,0.0,3805.8,3806.0,1,5,3807.6,3809.0,1,1
2023-06-29 14:52:02.591092,-3.0,-1.599999999999909,0.0,0.0,3805.8,3806.0,1,5,3807.6,3808.8,1,1
2023-06-29 14:52:02.595089,-3.400000000000091,-2.0,0.0,0.0,3805.4,3805.6,4,1,3807.6,3808.8,1,1
2023-06-29 14:52:03.709975,-3.400000000000091,-1.800000000000182,0.0,0.0,3805.4,3805.6,3,2,3807.4,3808.8,1,1
2023-06-29 14:52:04.058911,-3.400000000000091,-1.599999999999909,0.0,0.0,3805.4,3805.8,2,2,3807.4,3808.8,1,1
2023-06-29 14:52:04.104995,-3.600000000000364,-1.800000000000182,0.0,0.0,3805.2,3805.6,8,2,3807.4,3808.8,1,1
2023-06-29 14:52:04.583476,-3.400000000000091,-1.800000000000182,0.0,0.0,3805.4,3805.6,1,2,3807.4,3808.8,1,1
2023-06-29 14:52:05.061162,-3.600000000000364,-1.800000000000182,0.0,0.0,3805.2,3805.6,8,1,3807.4,3808.8,1,1
2023-06-29 14:52:05.494698,-3.200000000000273,-1.7999999999997272,0.0,0.0,3805.6,3805.8,2,2,3807.6,3808.8,1,1
2023-06-29 14:52:06.502382,-3.200000000000273,-2.0,0.0,0.0,3805.6,3805.8,2,2,3807.8,3808.8,1,1
2023-06-29 14:52:07.487206,-3.400000000000091,-2.0,0.0,0.0,3805.6,3805.8,2,2,3807.8,3809.0,1,1
2023-06-29 14:52:08.085859,-4.200000000000273,-2.0,0.0,0.0,3805.6,3805.8,1,1,3807.8,3809.8,1,5
2023-06-29 14:52:08.547361,-3.800000000000182,-2.0,0.0,0.0,3805.6,3806.0,1,3,3808.0,3809.4,1,1
2023-06-29 14:52:09.098902,-3.599999999999909,-2.0,0.0,0.0,3805.8,3806.0,2,4,3808.0,3809.4,1,1
2023-06-29 14:52:12.067166,-3.399999999999636,-2.0,0.0,0.0,3805.8,3806.0,2,4,3808.0,3809.2,1,1
2023-06-29 14:52:12.071197,-3.199999999999818,-1.800000000000182,0.0,0.0,3806.0,3806.2,7,3,3808.0,3809.2,1,1
2023-06-29 14:52:12.603743,-3.599999999999909,-1.800000000000182,0.0,0.0,3806.0,3806.2,7,3,3808.0,3809.6,1,2
2023-06-29 14:52:13.584070,-3.400000000000091,-1.800000000000182,0.0,0.0,3806.0,3806.2,4,3,3808.0,3809.4,1,1
2023-06-29 14:52:14.553769,-3.400000000000091,-2.0,0.0,0.0,3806.0,3806.2,13,1,3808.2,3809.4,1,1
2023-06-29 14:52:14.557790,-3.200000000000273,-1.7999999999997272,0.0,0.0,3806.2,3806.4,4,9,3808.2,3809.4,1,1
2023-06-29 14:52:15.510341,-3.400000000000091,-1.7999999999997272,0.0,0.0,3806.2,3806.4,24,10,3808.2,3809.6,1,2
2023-06-29 14:52:15.511342,-3.199999999999818,-1.599999999999909,0.0,0.0,3806.4,3806.6,1,1,3808.2,3809.6,1,2
2023-06-29 14:52:16.025998,-3.199999999999818,-2.0,0.0,0.0,3806.4,3806.6,1,1,3808.6,3809.6,1,2
2023-06-29 14:52:16.028995,-3.0,-1.7999999999997272,0.0,0.0,3806.6,3806.8,2,4,3808.6,3809.6,1,2
2023-06-29 14:52:16.512793,-3.200000000000273,-1.7999999999997272,1.0,0.0,3806.6,3806.8,2,4,3808.6,3809.8,1,5
2023-06-29 14:52:17.857193,-3.200000000000273,-1.599999999999909,1.0,0.0,3806.6,3807.0,3,4,3808.6,3809.8,1,5
2023-06-29 14:52:19.095066,-3.0,-1.599999999999909,0.0,0.0,3806.8,3807.0,1,2,3808.6,3809.8,1,5
2023-06-29 14:52:19.565698,-3.200000000000273,-1.599999999999909,1.0,0.0,3806.6,3807.0,10,1,3808.6,3809.8,1,5
2023-06-29 14:52:20.359646,-3.0,-1.599999999999909,0.0,0.0,3806.8,3807.0,1,1,3808.6,3809.8,1,5
2023-06-29 14:52:20.522753,-3.0,-1.199999999999818,0.0,0.0,3806.8,3807.4,1,1,3808.6,3809.8,1,5
